,白话文,文言文
231,这实在是诽谤之言的。,此实是毁谤言也。
232,一定要精雕细刻、纹彩斑斓，以满足他们眼睛的需要；,必将雕琢刻镂，黼黻文章，以塞其目；
233,如果眼、耳等根，苦、乐等各种心法和心所法，没有神我，眼等也应当是没有的。,若眼耳等根、苦乐等诸法，无有本住者，眼等亦应无。
234,所以如来佛要求,是故佛说：
235,正要有所作为修定国家法制，作为世上的宗师模范，不幸去世，我很是悲痛。,方将宣献敷制，为世宗范，不幸薨殂，朕甚痛之。
236,李络秀的父亲、哥哥不答应，李络秀说：“门户这么困苦了，怎么还爱惜一个女儿！,其父兄不许，络秀曰：“门户殄瘁，何惜一女！
237,尹敏回报道：“谶书不是圣人所作，里面有不少的错别字，很像世俗的俚语，恐贻误后生。”,敏对曰：“谶书非圣人所作，其中多近鄙别字，颇类世俗之辞，恐疑误后生。”
238,兵马既已蓄势，不容再听停辍，而应火速赴敌，东西合击，乘胜扫敌，争取时机，以获胜利。”,士马既殷，无容停积，宜务神速，东西齐契，乘胜扫殄，以赴机会。”
239,这是保全生命的方法。,此存身之道也。
240,明天面对大朝会，万众瞻仰皇上端庄的容貌，公卿倾听悦耳的声音。,明当大会，万众瞻穆穆之容，公卿听玉振之音。
241,核对完毕后，冯谖起身假传孟尝君的命令，宣布免掉百姓所欠的债务，并当众把契约烧掉，百姓们欢呼万岁。,券遍合，起矫命，以责赐诸民，因烧其券，民称万岁。
242,龙象的头顶凸出呈红色，好象通红的因陀罗瞿波迦虫，六牙具足，其牙纤长锐利，在色泽上杂有一点一点的金黄，有如黄金镶填造就。,其顶赤色，似因陀罗瞿波迦虫，六牙具足，其牙纤利，杂色金填。
243,春天酿，酘八九次。,春作，八九酘。
244,二十九日，加给士大云开府仪同三司的职衔。,丙辰，加士夽开府仪同三司。
245,李德裕死后，家里没有朝廷俸禄不能自己振作起来；,李德裕贬死，家无禄，不自振；
246,因此逐渐开悟，证得各种禅的境界。,因是渐证得诸禅境界。
247,他们说：“兼相爱即使是好的，但是，难道可以应用吗？”,曰：“即善矣，虽然，岂可用哉？”
248,“菲，像葍。,“菲，似葍。
249,孔子说：“集中二十五个人的智慧，智慧就胜过商汤、周武王；,仲尼曰：“合二十五人之智，智于汤、武；
250,韩、魏虽是弱国，楚国却以上蔡之地来对付他们；,郑、魏之弱，而楚以上蔡应之；
251,十四日，金、商、房三州发生饥荒，救济那里的百姓。,丁丑，金、商、房三州饥，振之。
252,到了法网比凝脂还密，经书都被焚烧成了灰烬的时候，消除三伐的影响，把金根车作为皇帝乘坐的车，废弃六冕，用构玄作为祭祀的礼服。,及凝脂布网，经书咸烬，削灭三代，以金根为帝轸，除弃六冕，以袀玄为祭服。
253,当初，石季龙用庭挞镇守但军，蛊菌之乱时，庭挞回邺，登选派儿子董壁攻打并擒获了他，任庭挞为军师将军。,初，季龙以麻秋镇枹罕，冉闵之乱，秋归邺，洪使子雄击而获之，以秋为军师将军。
254,所以要把无念作为宗旨。,所以立无念为宗。
255,当时正危急，召诸将救援朝廷多没有到达，只有世杰来到，皇帝叹息惊异。,时方危急，征诸将勤王多不至，独世杰来，上下叹异。
256,如同我现在这样，你们用眼睛看不见我，但我却能发出声音。菩萨摩诃萨证入离垢三昧时也是如此，一般人的眼睛看不到他，但他却能处处示现受生，舍离分别，除却骄慢，清净不执着。,如我今者，非眼所见而能出声，菩萨摩诃萨入离垢三昧，亦复如是，非眼所见而能处处示现受生，离分别，除骄慢，无染著。
257,打开棺材来一看，与杲卿的完全一样，履谦的妻子大声痛哭感慨叹息，觉得泉明待履谦有如父亲。,发棺视之，一与杲卿等，履谦妻号踊感叹，待之如父。
258,王也有千子，,王有千子。
259,师父见到他后感到很奇怪，便入禅定，以天眼观察，知道他并没有别的福德，只是由于救小蚂蚁的缘故，七天后不死，得以延长了生命。,师甚怪之，寻即入定，以天眼观，知其更无余福得尔，以救蚁子因缘之故，七日不死，得延命长。
260,婆罗门所化，婆罗门所有。,婆罗门化。婆罗门所有。
261,守仁征讨江西南安府桶罔时，廷仁去军中求见，拜他为师。,守仁征桶冈，诣军门谒，遂师事焉。
262,韩辰很担心，准备接受魏国使者的话。,韩辰患之，将听之矣。
263,杨砥刚直而有操守，孝行尤笃。,砥刚介有守，尤笃孝行。
264,朱滔攻取了武城，打通了德州、棣州之路，供应军需，把各县的官吏全都囚禁起来。,滔取武城，通德、棣，供军馈，尽囚诸县官吏，
265,做臣的为了私欲就会背弃公心，这是一大困惑。,人臣树私则背公，是大惑也。
266,我这么说，不是不近人情，而是希望大家都做点实际的事情，必定期望亡者能往生，在世的人得福报。以成就孝子贤孙的一片至诚的孝心。不觉之中，言辞有点激烈了。,吾作此语，非不近人情，欲人各于实际上讲求，必期亡者往生，存者得福，以遂孝子贤孙亲爱之一片血诚，不觉其言之有似激烈也。
267,余懋衡不久后因家人去世回到家乡。,懋衡寻以忧归。
268,史臣曰：范平等人是学府裹的儒学宗师，声望很高，或因质疑找他，或是人们学习的楷模，即使比不上古人，也仍然是一时的俊杰。,史臣曰：范平等学府儒宗，誉隆望重，或质疑是属，或师范攸归，虽为未及古人，故亦一时之俊。
269,用整个国家来供养他还不能容纳他，这就叫做最大的贪婪，这是最愚蠢的君主了。,以国持之而不足以容其身，夫是之谓至贪，是愚主之极也。
270,已生调戏之想的话，便能消灭它。,已生调戏想便能灭之。
271,二十七日，勿吉国派使者朝贡。,癸巳，勿吉国遣使朝贡。
272,若有菩萨能观察到一切心境，便是佛法。,若有菩萨观一切法即是佛法。
273,智力衰竭，进人色受二阴之中毁坏的境地，一无所见，在心中忽然产生广大干枯渴极。,智力衰微，入中隳地，迥无所见，心中忽然生大枯渴。
274,一旦贪赃营私开头，千奇百怪的坏现象也会出现，这样就形成为人择官，为身择利，看亲疏而下笔，顾势要而措情。,脏私一启，以及万端。至乃为人择官，为身择利，顾亲疏而下笔，看势要而措情。
275,再来，又有法山云幢佛出兴世间；,次有佛兴，名法山云幢；
276,年成并不常是丰收的，而国家对边防军的供给是经常、固定的，近年也曾稍有匮缺。,岁不常登，廪有常给，顷年亦尝稍匮矣。
277,赖咤和罗说：大王已经自有国土及四方国土还觉得不能满足，又还希望得到海外的国土。,赖咤和罗言。王自有国及四方国常不厌足。复悕望海外国。
278,因此归佛、法、僧，所获的福报不可计量。,是故归佛法僧。其福不可计量也。
279,诣世尊之处，到达后，头面礼足，然后站立在一边。,往至世尊所，头面礼足，在一面立。
280,还有须弥山和四大海水、洲诸、土地、,须弥巨海山，洲渚刹土地。
281,从尧直到周武王，从后稷到周公旦和召公奭，都是仁人。,自尧至于武王，自稷至于周、召，皆仁人也。
282,念念都能示现清净的大愿，充满法界；,念念中，示清净大愿充满法界；
283,还有，桓玄的庙祭不及于祖辈，因为他的曾祖父以上名位不显著，所以不予排列次序。,又其庙祭不及于祖，以玄曾祖已上名位不显，故不列序。
284,王含不听，于是一起去投奔王舒，王舒果然把王含父子投入江中。,含不从，遂共投舒，舒果沈含父子于江。
285,他入宫辞行时，有两个美嫔侍奉皇上，蔡攸指着她们请求说：“臣成功归来，请把她们赏给我。”,入辞之日，二美嫔侍上侧，攸指而请曰：臣成功归，乞以是赏。
286,在这时，杷子不再要直到瓮底，因为酥油已经浮了出来了。,于此时，杷子不须复达瓮底，酥已浮出故也。
287,波斯匿王说：“世尊，我这个身体，是一个无常变化之身，虽然现在还健在，但既然是无常变化之身，就如同眼前许多虚妄境相，念念不住，迁流不息，如同火灭成灰，渐归消失，,“世尊，我此无常，变坏之身虽未曾灭，我观现前，念念迁谢，新新不住。如火成灰，渐渐销殒，殒亡不息。
288,于是梦阳带着原来官衔归家闲居。,梦阳既家居，
289,“此外，大菩萨应当善知三自性相。,“复次，大慧，菩萨摩诃萨当善知三自性相。
290,如果遇到好时机，那有什么困难？,苟遇其时，何难之有？
291,由此看来，信佛就是耕种最好的福田。,以此明之，佛最为良田。
292,‘所有的财宝，都尽应皈于我，你没有分的。,‘所有财宝，尽应与我，汝无分也。
293,我已经在前面以如何解开劫波巾所绾之结为例，说明了这个道理。你还有什么不明白的，仍然要再次询问呢？,我已示汝劫波巾结，何所不明再此询问？
294,白梅、姜、橘皮等，如果不先捣，就不会熟；,白梅、姜、橘，不先捣，则不熟；
295,那个时候，世尊告诉诸比丘们说：,尔时，世尊告诸比丘：
296,帝王之道的运行是不停顿的，所以天下归向；,帝道运而无所积，故天下归；
297,郭登慷慨激昂，整修城墙，修缮兵器，安抚士卒，悼死问伤，亲自为伤兵裹伤敷药，并说道“：我誓与此城共存亡，决不会只让你们去死。”,登慷慨奋励，修城堞，缮兵械；拊循士卒，吊死问伤，亲为裹创傅药。曰：“吾誓与此城共存亡，不令诸君独死也。”
298,像如是的，在不久的时候，如来当会取入于灭度。,如是不久，如来当取灭度。
299,三年内不改父亲的规矩习惯，可算孝了。”,三年无改于父之道，可谓孝矣。”
300,在上者昏乱，在下者就遭受祸患，如同耳目不灵便而手脚就受到伤害；,上乱，下被其患，若耳目不聪明而手足为伤也；
301,不久一清升为右都御史，就建议修整边防，他的奏章大概说：“陕西的各处边境，延绥居于险要地带，宁夏、甘肃有河山可以扼守，只有花马池到灵州一带平地宽广，城堡又久不维修了。,寻进右都御史。一清遂建议修边，其略曰：陕西各边，延绥据险，宁夏、甘肃扼河山，惟花马池至灵州地宽延，城堡复疏。
302,世尊告诉他说：,世尊告曰：
303,说完誓言后，双臂果然依原样重新自然生出。,作是誓已，自然还复。
