白话文,文言文,文言文_较差
那个时候，尊者须菩提也在于王舍城的耆阇崛山之侧，在别作的屋庐自己一人禅坐而入于禅思之中。,尔时，尊者须菩提亦在王舍城耆阇崛山侧，别作屋庐而自禅思。,那时，须菩提也在王舍城耆阇崛山边，乱搭个房子自己打坐思考。
所以圆成实性和依他起性，既非有异，亦非不异，,故此与依他，非异非不异。,故此与依他，不是不同也不是相同。
十六日，司徒刘恺罢去。,戊辰，司徒刘恺罢。,戊辰，刘恺司徒被撤了。
所谓行端正，并非色如花。,所谓端正，非色如华。,所谓端正，不是颜色像花。
慕容盛到了以后，慕容垂询问他西边的情况，慕容盛在地上画了地图。,盛既至，垂问以西事，画地成图。,盛来到后，垂问他西边的事情，盛就在地上画了个图。
既然如此，那么应该怎样去明辨这种主张呢？,然则明辨此之说将奈何哉？,然则明白分辨这个说法怎么做呢？
况且宝石珠玑，多收藏于中贵人家，追求越急切，索取的价值愈高，怎么用有用的资财，耗费在无用的东西上。,况宝石珠玑，多藏中贵家，求之愈急，邀直愈多，奈何以有用财，耗之无用之物。,况宝石珠玑，多藏在中贵家里面，求得越急，要价越高，为何要用有用的钱，去耗在无用的东西上。
你们看上方有什么精心。,汝观上方有何等相？,汝看上面有啥等相？
“无量庄严世界的上方，过佛刹微尘数世界之外，有一个世界，名为无尽光庄严幢世界。形状宛如莲华，依止于一切宝网海安住，上方有莲华光摩尼网覆盖，周遭有二十个佛刹微尘数的世界围绕，都是纯一清净的世界。无尽光明世界的佛陀，名为法界净光明如来。,此上过佛刹微尘数世界，有世界名无尽光庄严幢，状如莲华，依一切宝网海住，莲华光摩尼网弥覆其上，二十佛刹微尘数世界围绕，纯一清净，佛号法界净光明。,此过佛刹微尘数世界，有世界叫无尽光庄严幢，形状像莲花，依靠一切宝网海住着，莲花光摩尼网盖在其上，二十佛刹微尘数世界环绕，全是清净，佛号法界净光明。
所以说“：只要国家用至诚相待，就能为他献出生命。”,故曰：“惟天下至诚，为能尽其性。”,故云：“天下最诚者，方能尽其性。”
这就好像庆忌不该失去戒备之心，轻易外出一样。,是若庆忌无去之心，不能轻出。,若是庆忌无离去之心，不能轻易出来。
邪智之人又问道：‘色与无常是异或是不异？涅槃与诸生死有为法是异或是不异？相与所相是异或是不异？依与所依是异或是不异？造与所造是异或是不异？见与所见是异或是不异？大地与微尘是异或是不异？智与智者是异或是不异？,‘谓色与无常为异为不异，如是涅槃诸行，相所相，依所依，造所造，见所见，地与微尘，智与智者，为异为不异？,色与无常，异还是不异？涅槃与诸行，相与所相，依与所依，造与所造，见与所见，地与微尘，智与智者，都是异还是不异？
催马直奔石穴，分路进攻，以樊文彬往来传达命令，处理事务。,策马直至石穴，分兵进攻，而以文彬往来给事。,策马到石穴，分兵攻打，让文彬来来回回办事。
大清兵乘胜开到了赣州城下。,大兵乘胜抵城下。,大军队胜了来到城下面。
钟皓的侄子钟瑾的母亲是李膺的姑姑。,皓兄子瑾母，膺之姑也。,皓哥哥的儿子瑾的妈妈，是膺的大姑姐。
冬十月一日是朔日。,冬十月丁酉朔。,冬月十月初一丁酉日。
邢籨得病一个月后就去世了，终年七十九岁，被赠左仆射荣衔，其三子也受到外进品秩的优抚。,逾月卒，年七十九，则左仆射，三子并进秩。,过一个月死了，七十九岁，然后做左仆射，三个儿子一起升官。
这时，在座听法的大众，却是未能证到无学果位初学，听到佛以上这些话，都感到茫然迷惑不知道义理何在？,于是大众非无学者，闻佛此言，茫然不知是义终始。,于是众人没有学问的，听到佛这话，糊里糊涂不知道什么意思。
苟晞的从事中郎明预患病住在家中，听说了此事，就抱病劝谏苟晞说：“皇晋遭逢百六厄运。,晞从事中郎明预有疾居家，闻之，乃举病谏晞曰：“皇晋遭百六之数，,晞个从事中郎明预生病回家了，听说这事儿，就生病着去劝晞说：“皇晋遇到一百零六这个数，理应……”
夏四月二十日，封阜陵王刘种兄刘鲂为阜陵王。,夏四月壬子，封阜陵王种兄鲂为阜陵王。,夏四月壬子，把阜陵王种的哥哥鲂封作阜陵王。
因此古时耕作三十年必有十年的储蓄，尧汤时期遭受水旱灾害而人不困厄，是有储备的缘故。,故古者三十年耕必有十年之储，尧、汤遭之而人不困，有备故也。,古时候三十年耕种必有十年储备，尧、汤遇到灾荒，百姓不困，因为有准备。
邢国和狄人一起攻打同姓的卫国，并占领了卫国。,邢与狄伐其同姓，取之。,邢和狄打他们亲戚，抢了地方。
从此吏部的权力又渐渐分散到九卿手中。,自是吏部权又渐散之九卿矣。,自此后，吏部的权又渐渐散到九卿那去了。
鲁国人看见孔子谦让而不争，也说他无能，而且写歌谣说：“穿着白色蔽膝和紫羔所制皮衣的人，问他没有什么特异。,鲁人见仲尼之好让而不争也，亦谓之无能，为之谣曰：“素鞞羔裘，求之无尤。,鲁国人看见仲尼好让不争，也说他没啥能耐，编了个歌谣唱：“穿个白里子羔羊皮袄，找茬也没啥问题。”
成帝赞美他的高尚纯朴的品行，就加授右光禄大夫，门前设置行马，赐给床帐被褥，敕命太官四季送膳食，他坚决辞让不接受。,成帝美其素行，就加右光禄大夫，门施行马，赐床帐被褥，敕太官四时致膳，固辞不受。,成帝觉得他平时表现不错，就给了他右光禄大夫的职位，门口也让他用行马，还给了床帐被褥，还让太官四季送膳食，但他坚决推辞不接受。
宰相裴枢等站起来请罪。,裴枢等起待罪。,裴枢等人起来等罰。
又与曾公亮、张日弁、欧阳修极力进言，正好司马光、吕诲都有所请求，韩琦进读他们的上疏，还没有来得及开封，仁宗就说：“朕有这个意向很久了，谁能作为继承人呢？”,又与曾公亮、张升、欧阳修极言之。会司马光、吕诲皆有请，琦进读二疏，未及有所启，帝遽曰：朕有意久矣，谁可者？,又跟曾公亮、张升、欧阳修说了很多。碰上司马光、吕诲也都请求，琦念二疏，还没开口，皇帝就急忙说：朕早就想好了，谁来呢？
有人这样说：,有作是说：,有人这样说：
初三，挑选神武中军亲兵六百人在皇宫轮流值班。,癸酉，选神武中军亲兵六百人番直禁中。,癸酉，挑神武中军亲兵六百人轮流在宫里值班。
夏统惊愕地跑开了，不从大门而是撞破了篱笆直冲出去。,统惊愕而走，不由门，破籓直出。,统很吃惊就跑了，不走门，拆墙直接出去。
我军粮草将尽，难以长期坚持下去。,吾粮廪将悬，难以持久。,我粮食快没了，继续下去很难。
所以《周礼》中记载太史的职事，是“修正岁、年之历法来安排事务，颁布给官府和全国，十二月将历书颁发给诸侯国。”,故《周礼》太史之职，“正岁年以序事，颁之于官府及都鄙，颁告朔于邦国。”,故《周礼》中太史职责，“正岁年以排序事，下发官府和边鄙，通知各邦国月初之事。”
照刘向的说法，马不应当长角，好比桓玄不应当起兵打皇帝。,案刘向说曰，马不当生角，犹玄不当举兵向上也。,劉向説，馬不該生角，就像玄不該舉兵向上一樣。
到底是怎么回事？,何罪所致。,何罪如此。
景公上前制止住他，说：“先生您为什么悲伤到这地步？,公就止之，曰：“夫子曷为至此？,公就制止他，说道：“先生怎么到这里来了？
她们心中都思念道。,各作是言。,各人都这么说的。
从前荆灵王喜欢细小的腰身，在灵王那个时代，荆国的士人每天吃饭不超过一顿，要撑着木杖才能站起来，扶着墙才能行走。,昔荆灵王好小要，当灵王之身，荆国之士饭不逾乎一，固据而后兴，扶垣而后行。,昔日荆灵王喜欢细腰，灵王在位时，荆国的士人吃饭不超过一口，紧紧抓住东西才起身，扶着墙才走路。
这是因为菩萨已经证得了无所执着、无所依止的境界，,得无所著、无所依故。,得无所有著，无依故。
“藐是茈草。”,“藐，茈草也。”,藐者，茈草。
国王听了夫人说了之后，即自己前往来到三摩竭的房中。,王闻夫人言，即自往到三摩竭所。,王听见夫人说的话，就自己跑去三摩竭那边。
至于综合各种学问和知识，贯通纲纪和条例内容，使自己的言论和行为一致，聚合天下的英雄豪杰，告诉他们大道，传授最合理的学说，就在堂室之中，起居作息之处，圣明君王的礼乐制度就这样简要地具备了，美好的风俗也就兴盛起来，擅长论说的人不能得以侵入，那十个学者也无法得以接近。,若夫总方略，一统类，齐言行，群天下之英杰，告之以大道，教之以至顺，隩要之间，衽席之上，简然圣王之文具，沛然平世之俗趋，工说者不能入也，十子者不能亲也。,若夫汇总方略，统一分类，言行一致，聚集天下英杰，告知大道，教育至顺，在关键之处，卧席之上，简单圣王文章完备，流畅平世风俗趋向，工说者不能进入，十子者不能亲近。
“自性启动并生发作用的时候，和别人一起言论，对外在事物不执著它的相状，对内在心念不执著于空无。,“自性动用，共人言语，外于相离相，内于空离空。,自性动用时，与人说话，外面相离相，里面空离空。
甑，容量也是二鬴，壁厚半寸，口缘厚度是一寸，底部有七个小孔。,甑，实二鬴，厚半寸，唇寸，七穿。,甑实二鬴，厚半寸，唇寸，七穿。
途中与敌军相遇搏斗，部队力所不及只好撤退。,道逢彼兵共斗，军不如即退。,道上遇敌打交手战，打不过就退。
色受想蕴之中，见有非有，因色受想现在虽无，将来必有，而亦非有。,色受想中，见有非有。,在色受想里面，看到有非有。
自从京都沦陷以来，全国各地瓦解离析，天下一片混乱，无所归向，即使是有夏遭到裹翌的祸乱，塞蜒受到芝遗的侵凌，也不能超过现在。,自京畿陨丧，九服崩离，天下嚣然，无所归怀，虽有夏之遘夷羿，宗姬之离犬戎，蔑以过之。,自从京城出事，天下大乱，人人都不知道该归向何处。虽说夏朝遇到夷羿，姬姓诸侯遭遇犬戎，也没这么糟糕。
